KUNTA_NIMI,TOTAL_PAYMENTS
Helsinki,754257231
Tampere,455196253
Turku,406448265
Oulu,325881744
Jyväskylä,249913533
Espoo,242597540
Kuopio,165976958
Joensuu,142027162
Vaasa,132994761
Vantaa,129116064
Lappeenranta,94554301
Rovaniemi,71705382
Lahti,67700937
Seinäjoki,56553235
Pori,55030989
Hämeenlinna,35620523
Kotka,30113152
Mikkeli,29825742
Rauma,26057675
Kouvola,25636525
Kajaani,22804842
Kokkola,21852072
Järvenpää,15832698
Savonlinna,14957948
Porvoo,14922800
Hyvinkää,13765456
Riihimäki,11869434
Kerava,11410976
Kirkkonummi,10941132
Tuusula,10344723
Kangasala,10316683
Nokia,9586019
Nurmijärvi,9275040
Salo,9201025
Kaarina,8834670
Lohja,7441748
Sipoo,7284649
Pietarsaari,6774518
Tuntematon,6685378
Raasepori,6672363
Lempäälä,6282564
Ylöjärvi,6231998
Pirkkala,6208756
Valkeakoski,6117577
Kempele,6009566
Raisio,5547192
Mustasaari,5534551
Tornio,5532271
Forssa,5402588
Iisalmi,5184956
Vihti,4836230
Siilinjärvi,4483398
Raahe,4325639
Mäntsälä,4257623
Pedersören kunta,4232395
Kauniainen,4222391
Heinola,4098043
Kemi,3998231
Hollola,3981298
Naantali,3910996
Kontiolahti,3689656
Sastamala,3620950
Lieto,3584453
Kurikka,3576303
Ylivieska,3419323
Parainen,3347744
Kankaanpää,3319126
Äänekoski,3261343
Imatra,3169675
Ilmajoki,3111404
Hamina,3055715
Hattula,2994715
Akaa,2984997
Janakkala,2925054
Alavus,2908923
Lapua,2726321
Varkaus,2670530
Närpiö,2611137
Laukaa,2606216
Pieksämäki,2600771
Jämsä,2544763
Kauhava,2495107
Ulvila,2426614
Liminka,2401543
Loimaa,2331089
Eura,2330432
Uusikaarlepyy,2328393
Loviisa,2215842
Kalajoki,2130837
Ii,2126993
Sotkamo,1982056
Kruunupyy,1963174
Orimattila,1951952
Eurajoki,1924503
Maarianhamina,1896427
Paimio,1893216
Nivala,1815953
Liperi,1801548
Maalahti,1731990
Muurame,1714753
Muhos,1701824
Kuusamo,1701163
Tammela,1700802
Luoto,1681290
Saarijärvi,1598289
Uusikaupunki,1537874
Vöyri,1490012
Orivesi,1469796
Huittinen,1461570
Laitila,1446003
Hämeenkyrö,1425538
Masku,1375561
Inari,1333626
Hausjärvi,1285138
Pälkäne,1278830
Kemiönsaari,1249964
Kittilä,1241822
Sodankylä,1236075
Kauhajoki,1232304
Tyrnävä,1223216
Isokyrö,1210215
Kristiinankaupunki,1200723
Pöytyä,1187334
Mäntyharju,1165728
Karkkila,1161359
Alajärvi,1122957
Inkoo,1115641
Kiuruvesi,1112232
Asikkala,1105581
Kokemäki,1098890
Harjavalta,1079661
Keminmaa,1071131
Mynämäki,1068154
Iitti,1028385
Lapinlahti,1026263
Oulainen,1015900
Leppävirta,1014790
Säkylä,1007955
Mänttä-Vilppula,999707
Keuruu,999172
Virrat,980940
Somero,979348
Kitee,974703
Siuntio,973382
Kaustinen,972404
Aura,965421
Rusko,964375
Loppi,937530
Pyhtää,937036
Vesilahti,908541
Kannus,900854
Jokioinen,871495
Juva,869676
Nakkila,866411
Luumäki,856452
Laihia,843869
Hankasalmi,813833
Siikajoki,791856
Kolari,772465
Taipalsaari,768619
Parkano,749403
Kangasniemi,745397
Korsnäs,744384
Pudasjärvi,721134
Lieksa,719940
Suonenjoki,716575
Nousiainen,709889
Pornainen,706488
Ylitornio,695673
Pyhäntä,686007
Ikaalinen,674499
Haapajärvi,659018
Sievi,655637
Nurmes,642165
Toholampi,640740
Taivalkoski,637584
Urjala,628041
Reisjärvi,617354
Ranua,611049
Savitaipale,601821
Teuva,600942
Kuortane,591195
Suomussalmi,585830
Haapavesi,583936
Hanko,579505
Salla,577503
Kemijärvi,573816
Puumala,532959
Kuhmo,532356
Sulkava,530841
Pyhäjoki,530065
Punkalaidun,527592
Askola,521076
Pello,508530
Outokumpu,501135
Kärsämäki,492996
Polvijärvi,485223
Joroinen,478545
Petäjävesi,471707
Lumijoki,471705
Vesanto,461514
Soini,459476
Viitasaari,455403
Ruovesi,449493
Lapinjärvi,437403
Ähtäri,434352
Vieremä,428241
Muonio,424566
Heinävesi,422370
Uurainen,416034
Rantasalmi,411972
Vehmaa,406137
Sauvo,405669
Tervola,403223
Sonkajärvi,402231
Humppila,402198
Hirvensalmi,399919
Halsua,399564
Lemi,396665
Jämijärvi,396486
Ruokolahti,391777
Joutsa,391647
Veteli,389790
Tohmajärvi,389631
Siikalatva,386085
Lappajärvi,381444
Vimpeli,373477
Pyhäjärvi,367131
Ypäjä,364165
Virolahti,353267
Pielavesi,348462
Keitele,346203
Juupajoki,336174
Sysmä,334044
Perho,329879
Rautalampi,326472
Lestijärvi,301142
Kärkölä,300444
Kihniö,295259
Konnevesi,293796
Juuka,290197
Padasjoki,287673
Alavieska,282381
Karstula,281118
Karvia,279585
Utajärvi,274677
Toivakka,274535
Koski Tl,272417
Simo,272382
Pihtipudas,269907
Enontekiö,269064
Merikarvia,263070
Paltamo,256050
Kuhmoinen,248226
Evijärvi,245556
Savukoski,245007
Oripää,231701
Pyhäranta,230716
Rautjärvi,210249
Marttila,209184
Parikkala,208305
Miehikkälä,206640
Pukkila,205293
Kannonkoski,202572
Karijoki,200892
Puolanka,198171
Jomala,196474
Kaavi,190974
Tuusniemi,190914
Taivassalo,189990
Utsjoki,189591
Tervo,177455
Pomarkku,174244
Hyrynsalmi,172641
Pertunmaa,169542
Ilomantsi,167550
Vaala,163434
Kinnula,160512
Posio,159792
Rautavaara,158139
Hailuoto,154764
Multia,147855
Isojoki,146190
Kustavi,132804
Kyyjärvi,127344
Luhanka,124626
Enonkoski,109032
Myrskylä,106932
Rääkkylä,105711
Hartola,98136
Siikainen,71352
Pelkosenniemi,66378
Hammarland,57744
Ristijärvi,56682
Kivijärvi,53640
Kaskinen,30282
Merijärvi,27912
